,index,Parent,Agency No.,Name,Contact,Operating Hours,Address,Zip Code,Unnamed: 7,Status,Latitude,Longitude,Filter_1,Filter_2,Requirements/Comments,Services Offered,Parent Agency No.,Input,Model_Output,day,hour,window
866,302,R1586,R1586FP,Open Table,919-832-1390,"Wednesdays, 12pm - 1pm","824 Bloodworth St., Raleigh, NC 27604",27604,WAKE,Confirmed,35.7914018,-78.6314099,Food Distribution,Food Pantries,,,R1586,"Wednesdays, 12pm - 1pm","[
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""12:00 pm"",
        ""Closing_Hour"": ""13:00 pm"",
        ""Week"": [
            ""1""
        ]
    }
]",Wednesday,12,12:00–13:59
867,303,R1587,R1587FP,Celebration Church,919-954-8800,1st & 3rd Sat 10:00 am-12:30 pm,"8700 Capital Blvd., Raleigh, NC 27616",27616,WAKE,Confirmed,35.8975803,-78.55792249999999,Food Distribution,Food Pantries,,,R1587,1st & 3rd Sat 10:00 am-12:30 pm,"[
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""12:30 pm"",
        ""Week"": [
            ""1"",
            ""3""
        ]
    }
]",Saturday,10,10:00–11:59
870,304,R1592,R1592YPC,YPC-Saint Augustine College,919.516.5083,TUESDAYS & THURSDAYSÊ9 a.m. Ð 1 p.m. By appointment only,1315 Oakwood Ave. Raleigh NC 27610,27610,WAKE,Confirmed,35.7874184,-78.6193035,Young adult programs,College,,,R1592,TUESDAYS & THURSDAYSÊ9 a.m. Ð 1 p.m. By appointment only,"[
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""01:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""01:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Tuesday,9,08:00–09:59
874,304,R1592,R1592YPC,YPC-Saint Augustine College,919.516.5083,TUESDAYS & THURSDAYSÊ9 a.m. Ð 1 p.m. By appointment only,1315 Oakwood Ave. Raleigh NC 27610,27610,WAKE,Confirmed,35.7874184,-78.6193035,Young adult programs,College,,,R1592,TUESDAYS & THURSDAYSÊ9 a.m. Ð 1 p.m. By appointment only,"[
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""01:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""01:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Thursday,9,08:00–09:59
878,305,R1593,R1593FP,Lincoln Park Holiness Church,919-880-5065,"Tues & Thurs 2pm-4pm, Sat 2pm-3pm","1504 New Bern Ave, Raleigh, NC 27610",27610,,Confirmed,35.779649,-78.6167298,Food Distribution,Food Pantries,"There is a short intake process, walk up to the window to request food at the Food distribution building directly across the street from the church",,R1593,"Tues & Thurs 2pm-4pm, Sat 2pm-3pm","[
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""02:00 pm"",
        ""Closing_Hour"": ""04:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""02:00 pm"",
        ""Closing_Hour"": ""04:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""02:00 pm"",
        ""Closing_Hour"": ""03:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Tuesday,14,14:00–15:59
880,305,R1593,R1593FP,Lincoln Park Holiness Church,919-880-5065,"Tues & Thurs 2pm-4pm, Sat 2pm-3pm","1504 New Bern Ave, Raleigh, NC 27610",27610,,Confirmed,35.779649,-78.6167298,Food Distribution,Food Pantries,"There is a short intake process, walk up to the window to request food at the Food distribution building directly across the street from the church",,R1593,"Tues & Thurs 2pm-4pm, Sat 2pm-3pm","[
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""02:00 pm"",
        ""Closing_Hour"": ""04:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""02:00 pm"",
        ""Closing_Hour"": ""04:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""02:00 pm"",
        ""Closing_Hour"": ""03:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Thursday,14,14:00–15:59
882,305,R1593,R1593FP,Lincoln Park Holiness Church,919-880-5065,"Tues & Thurs 2pm-4pm, Sat 2pm-3pm","1504 New Bern Ave, Raleigh, NC 27610",27610,,Confirmed,35.779649,-78.6167298,Food Distribution,Food Pantries,"There is a short intake process, walk up to the window to request food at the Food distribution building directly across the street from the church",,R1593,"Tues & Thurs 2pm-4pm, Sat 2pm-3pm","[
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""02:00 pm"",
        ""Closing_Hour"": ""04:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""02:00 pm"",
        ""Closing_Hour"": ""04:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""02:00 pm"",
        ""Closing_Hour"": ""03:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Saturday,14,14:00–15:59
883,306,R1605,R1605FP,The Way Church,984-365-6222,"Mondays, 8am - 12 noon; Tuesdays, 12 noon 2 pm","3704 Benson Rd., Garner, NC 27529",27529,WAKE,Confirmed,35.6278628,-78.6102587,Food Distribution,Food Pantries,,,R1605,"Mondays, 8am - 12 noon; Tuesdays, 12 noon 2 pm","[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""08:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1""
        ]
    },
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""12:00 pm"",
        ""Closing_Hour"": ""02:00 pm"",
        ""Week"": [
            ""1""
        ]
    }
]",Monday,8,08:00–09:59
887,306,R1605,R1605FP,The Way Church,984-365-6222,"Mondays, 8am - 12 noon; Tuesdays, 12 noon 2 pm","3704 Benson Rd., Garner, NC 27529",27529,WAKE,Confirmed,35.6278628,-78.6102587,Food Distribution,Food Pantries,,,R1605,"Mondays, 8am - 12 noon; Tuesdays, 12 noon 2 pm","[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""08:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1""
        ]
    },
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""12:00 pm"",
        ""Closing_Hour"": ""02:00 pm"",
        ""Week"": [
            ""1""
        ]
    }
]",Tuesday,12,12:00–13:59
889,307,R1606,R1606FP,Compass Christian Church,919-277-1680,1st Sat 10am-12pm,"5309 Umstead Rd., Fuquay-Varina, NC 27526",27526,WAKE,Confirmed,35.6294918,-78.7189535,Food Distribution,Food Pantries,,,R1606,1st Sat 10am-12pm,"[
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1""
        ]
    }
]",Saturday,10,10:00–11:59
891,308,R1612,R1612SK,Grace A.M.E Church,9198349286,Monday - Thursday 3:30pm - 4:30pm,1401 Boyer St. Raleigh NC 27603,27603,WAKE,Confirmed,35.7812995,-78.617384,Food Distribution,Feeding Programs,,,R1612,Monday - Thursday 3:30pm - 4:30pm,"[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""03:30 pm"",
        ""Closing_Hour"": ""04:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""03:30 pm"",
        ""Closing_Hour"": ""04:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""03:30 pm"",
        ""Closing_Hour"": ""04:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""03:30 pm"",
        ""Closing_Hour"": ""04:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Monday,15,14:00–15:59
893,308,R1612,R1612SK,Grace A.M.E Church,9198349286,Monday - Thursday 3:30pm - 4:30pm,1401 Boyer St. Raleigh NC 27603,27603,WAKE,Confirmed,35.7812995,-78.617384,Food Distribution,Feeding Programs,,,R1612,Monday - Thursday 3:30pm - 4:30pm,"[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""03:30 pm"",
        ""Closing_Hour"": ""04:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""03:30 pm"",
        ""Closing_Hour"": ""04:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""03:30 pm"",
        ""Closing_Hour"": ""04:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""03:30 pm"",
        ""Closing_Hour"": ""04:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Tuesday,15,14:00–15:59
895,308,R1612,R1612SK,Grace A.M.E Church,9198349286,Monday - Thursday 3:30pm - 4:30pm,1401 Boyer St. Raleigh NC 27603,27603,WAKE,Confirmed,35.7812995,-78.617384,Food Distribution,Feeding Programs,,,R1612,Monday - Thursday 3:30pm - 4:30pm,"[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""03:30 pm"",
        ""Closing_Hour"": ""04:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""03:30 pm"",
        ""Closing_Hour"": ""04:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""03:30 pm"",
        ""Closing_Hour"": ""04:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""03:30 pm"",
        ""Closing_Hour"": ""04:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Wednesday,15,14:00–15:59
897,308,R1612,R1612SK,Grace A.M.E Church,9198349286,Monday - Thursday 3:30pm - 4:30pm,1401 Boyer St. Raleigh NC 27603,27603,WAKE,Confirmed,35.7812995,-78.617384,Food Distribution,Feeding Programs,,,R1612,Monday - Thursday 3:30pm - 4:30pm,"[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""03:30 pm"",
        ""Closing_Hour"": ""04:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""03:30 pm"",
        ""Closing_Hour"": ""04:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""03:30 pm"",
        ""Closing_Hour"": ""04:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    },
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""03:30 pm"",
        ""Closing_Hour"": ""04:30 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Thursday,15,14:00–15:59
899,309,R1620,R1620FP,South Raleigh Inwood Care Pantry,919-422-5278,Sat 11am-12pm,"3700 Lake Wheeler Rd, Raleigh, NC 27603",27603,,Confirmed,35.7305288,-78.68336,Food Distribution,Food Pantries,,,R1620,Sat 11am-12pm,"[
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""11:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Saturday,11,10:00–11:59
900,310,R1624,R1624FP,Iglesia Pentecostal Puerta Al Cielo,919-337-7045,Thursday 5pm-6pm,"1411-1 Diggs Dr., Raleigh, NC 27603",27603,WAKE,Confirmed,35.7550786,-78.6627685,Food Distribution,Food Pantries,,,R1624,Thursday 5pm-6pm,"[
    {
        ""Day"": ""thursday"",
        ""Opening_Hour"": ""05:00 pm"",
        ""Closing_Hour"": ""06:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Thursday,17,16:00–17:59
901,311,R1625,R1625FP,Oak City Baptist Church,919-676-9895,Saturday 9am-12pm,"726 Method Rd., Raleigh, NC 27607",27607,WAKE,Confirmed,35.7897559,-78.6940333,Food Distribution,Food Pantries,,,R1625,Saturday 9am-12pm,"[
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""09:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1"",
            ""2"",
            ""3"",
            ""4""
        ]
    }
]",Saturday,9,08:00–09:59
904,312,R1641,R1641FP,Wake Relief,207-838-1493,"Mon & Tue 1pm -3pm, W 10am -12pm, 4th Sat 10am -12pm","4 N. Blount St., Raleigh, NC 27601",27601,WAKE,Confirmed,35.7806373,-78.63608339999999,Food Distribution,Food Pantries,"Receive food once every 30 days, Must be a Wake County resident, indoor service",,R1641,"Mon & Tue 1pm -3pm, W 10am -12pm, 4th Sat 10am -12pm","[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""01:00 pm"",
        ""Closing_Hour"": ""03:00 pm"",
        ""Week"": [
            ""1""
        ]
    },
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""01:00 pm"",
        ""Closing_Hour"": ""03:00 pm"",
        ""Week"": [
            ""1""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1""
        ]
    },
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""4""
        ]
    }
]",Monday,13,12:00–13:59
906,312,R1641,R1641FP,Wake Relief,207-838-1493,"Mon & Tue 1pm -3pm, W 10am -12pm, 4th Sat 10am -12pm","4 N. Blount St., Raleigh, NC 27601",27601,WAKE,Confirmed,35.7806373,-78.63608339999999,Food Distribution,Food Pantries,"Receive food once every 30 days, Must be a Wake County resident, indoor service",,R1641,"Mon & Tue 1pm -3pm, W 10am -12pm, 4th Sat 10am -12pm","[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""01:00 pm"",
        ""Closing_Hour"": ""03:00 pm"",
        ""Week"": [
            ""1""
        ]
    },
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""01:00 pm"",
        ""Closing_Hour"": ""03:00 pm"",
        ""Week"": [
            ""1""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1""
        ]
    },
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""4""
        ]
    }
]",Tuesday,13,12:00–13:59
908,312,R1641,R1641FP,Wake Relief,207-838-1493,"Mon & Tue 1pm -3pm, W 10am -12pm, 4th Sat 10am -12pm","4 N. Blount St., Raleigh, NC 27601",27601,WAKE,Confirmed,35.7806373,-78.63608339999999,Food Distribution,Food Pantries,"Receive food once every 30 days, Must be a Wake County resident, indoor service",,R1641,"Mon & Tue 1pm -3pm, W 10am -12pm, 4th Sat 10am -12pm","[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""01:00 pm"",
        ""Closing_Hour"": ""03:00 pm"",
        ""Week"": [
            ""1""
        ]
    },
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""01:00 pm"",
        ""Closing_Hour"": ""03:00 pm"",
        ""Week"": [
            ""1""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1""
        ]
    },
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""4""
        ]
    }
]",Wednesday,10,10:00–11:59
910,312,R1641,R1641FP,Wake Relief,207-838-1493,"Mon & Tue 1pm -3pm, W 10am -12pm, 4th Sat 10am -12pm","4 N. Blount St., Raleigh, NC 27601",27601,WAKE,Confirmed,35.7806373,-78.63608339999999,Food Distribution,Food Pantries,"Receive food once every 30 days, Must be a Wake County resident, indoor service",,R1641,"Mon & Tue 1pm -3pm, W 10am -12pm, 4th Sat 10am -12pm","[
    {
        ""Day"": ""monday"",
        ""Opening_Hour"": ""01:00 pm"",
        ""Closing_Hour"": ""03:00 pm"",
        ""Week"": [
            ""1""
        ]
    },
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""01:00 pm"",
        ""Closing_Hour"": ""03:00 pm"",
        ""Week"": [
            ""1""
        ]
    },
    {
        ""Day"": ""wednesday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""1""
        ]
    },
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""4""
        ]
    }
]",Saturday,10,10:00–11:59
912,313,R1642,R1642FP,Grace Within Transitions Foundation,919-289-9772,"1st & 3rd Tue 4pm-7pm, 2nd & 4th Sat 10am-12pm","2611 Torquay Crossing, Raleigh, NC 27616",27616,WAKE,Confirmed,35.8673679,-78.59340739999999,Food Distribution,Food Pantries,,,R1642,"1st & 3rd Tue 4pm-7pm, 2nd & 4th Sat 10am-12pm","[
    {
        ""Day"": ""tuesday"",
        ""Opening_Hour"": ""04:00 pm"",
        ""Closing_Hour"": ""07:00 pm"",
        ""Week"": [
            ""1"",
            ""3""
        ]
    },
    {
        ""Day"": ""saturday"",
        ""Opening_Hour"": ""10:00 am"",
        ""Closing_Hour"": ""12:00 pm"",
        ""Week"": [
            ""2"",
            ""4""
        ]
    }
]",Tuesday,16,16:00–17:59
